Date,Open,High,Low,Close,Volume,Adj Close
1980-12-12,28.75,28.875,28.75,28.75,117258400,0.43398400000000004
1980-12-15,27.375001,27.375001,27.25,27.25,43971200,0.411342
1980-12-16,25.375,25.375,25.25,25.25,26432000,0.381151
1980-12-17,25.875,25.999999,25.875,25.875,21610400,0.390586
1980-12-18,26.625,26.75,26.625,26.625,18362400,0.401907
1980-12-19,28.249999,28.374999,28.249999,28.249999,12157600,0.426437
1980-12-22,29.625,29.75,29.625,29.625,9340800,0.44719200000000003
1980-12-23,30.874999,30.999999,30.874999,30.874999,11737600,0.46606099999999995
1980-12-24,32.5,32.624999,32.5,32.5,12000800,0.490591
1980-12-26,35.500001,35.625001,35.500001,35.500001,13893600,0.535876
1980-12-29,36.0,36.124999,36.0,36.0,23290400,0.543424
1980-12-30,35.249999,35.249999,35.125,35.125,17220000,0.530216
1980-12-31,34.25,34.25,34.125,34.125,8937600,0.51512
1981-01-02,34.499999,34.750001,34.499999,34.499999,5415200,0.520781
1981-01-05,33.875001,33.875001,33.750001,33.750001,8932000,0.50946
1981-01-06,32.375,32.375,32.25,32.25,11289600,0.486817
1981-01-07,30.999999,30.999999,30.874999,30.874999,13921600,0.46606099999999995
1981-01-08,30.375001,30.375001,30.250001,30.250001,9956800,0.45662700000000006
1981-01-09,31.874999,32.000001,31.874999,31.874999,5376000,0.48115600000000003
1981-01-12,31.874999,31.874999,31.625,31.625,5924800,0.477383
1981-01-13,30.625,30.625,30.5,30.5,5762400,0.460401
1981-01-14,30.625,30.75,30.625,30.625,3572800,0.46228800000000003
1981-01-15,31.250001,31.5,31.250001,31.250001,3516800,0.47172200000000003
1981-01-16,31.125001,31.125001,30.999999,30.999999,3348800,0.467948
1981-01-19,32.875001,33.000001,32.875001,32.875001,10393600,0.496252
1981-01-20,32.000001,32.000001,31.874999,31.874999,7520800,0.48115600000000003
1981-01-21,32.5,32.749999,32.5,32.5,3976000,0.490591
1981-01-22,32.875001,33.125,32.875001,32.875001,8887200,0.496252
1981-01-23,32.875001,33.000001,32.749999,32.749999,2805600,0.49436499999999994
1981-01-26,32.375,32.375,32.25,32.25,6160000,0.486817
1981-01-27,32.25,32.25,32.000001,32.000001,5924800,0.48304300000000006
1981-01-28,31.125001,31.125001,30.999999,30.999999,7039200,0.467948
1981-01-29,29.999999,29.999999,29.875,29.875,10976000,0.450966
1981-01-30,28.500001,28.500001,28.249999,28.249999,11547200,0.426437
1981-02-02,26.75,26.75,26.625,26.625,5941600,0.401907
1981-02-03,27.625,27.749999,27.625,27.625,4788000,0.41700200000000004
1981-02-04,28.625001,28.75,28.625001,28.625001,6966400,0.432097
1981-02-05,28.625001,28.875,28.625001,28.625001,1982400,0.432097
1981-02-06,28.75,28.875,28.75,28.75,3466400,0.43398400000000004
1981-02-09,27.5,27.5,27.25,27.25,4188800,0.411342
1981-02-10,27.25,27.375001,27.25,27.25,4586400,0.411342
1981-02-11,26.500001,26.500001,26.375,26.375,3460800,0.398133
1981-02-12,26.25,26.25,26.125,26.125,3640000,0.39436
1981-02-13,25.75,25.75,25.5,25.5,2788800,0.384925
1981-02-17,26.125,26.25,26.125,26.125,3068800,0.39436
1981-02-18,27.25,27.5,27.25,27.25,4810400,0.411342
1981-02-19,25.75,25.75,25.625001,25.625001,5577600,0.386812
1981-02-20,24.375,24.375,24.249999,24.249999,6092800,0.366056
1981-02-23,24.625,24.750001,24.625,24.625,3528000,0.371717
1981-02-24,24.0,24.0,23.75,23.75,4244800,0.358509
1981-02-25,25.25,25.375,25.25,25.25,4872000,0.381151
1981-02-26,25.625001,25.75,25.625001,25.625001,2710400,0.386812
1981-02-27,26.500001,26.75,26.500001,26.500001,3690400,0.40002
1981-03-02,26.625,26.75,26.625,26.625,2940000,0.401907
1981-03-03,26.375,26.375,26.25,26.25,4043200,0.39624699999999996
1981-03-04,26.125,26.125,25.999999,25.999999,3427200,0.392473
1981-03-05,25.999999,25.999999,25.875,25.875,1344000,0.390586
1981-03-06,25.875,25.875,25.625001,25.625001,2900800,0.386812
1981-03-09,23.75,23.75,23.625,23.625,3830400,0.356622
1981-03-10,22.625,22.625,22.499999,22.499999,7095200,0.33964
1981-03-11,21.875,21.875,21.624999,21.624999,7464800,0.326432
1981-03-12,22.499999,22.625,22.499999,22.499999,14812000,0.33964
1981-03-13,22.375,22.375,22.25,22.25,57825600,0.335866
1981-03-16,23.125,23.374999,23.125,23.125,9307200,0.349074
1981-03-17,24.249999,24.5,24.249999,24.249999,10936800,0.366056
1981-03-18,25.75,25.999999,25.75,25.75,9234400,0.38869899999999996
